0,0,0
200,0,0
400,0,0
600,0,0
800,0,0
1000,0,0
1200,0,0
1400,0,0
1600,0,0
1800,0,0
2000,0,0
2200,0,0
2400,0,0
2600,0,0
2800,0,0
3000,0,0
3200,0,0
3400,0,0
3600,0,0
3800,0,0
4000,0,0
4200,0,0
4400,0,0
4600,0,0
4800,0,0
5000,0,0
5200,0,0
5400,0,0
5600,0,0
5800,0,0
6000,0,0
6200,0,0
6400,0,0
6600,0,0
6800,0,0
7000,0,0
7200,0,0
7400,0,0
7600,0,0
7800,0,0
8000,0,0
8200,0,0
8400,1,1
8600,1,0
8800,1,0
9000,1,0
9200,1,0
9400,1,0
9600,1,0
9800,1,0
10000,1,0
10200,1,0
10400,1,0
10600,1,0
10800,1,0
11000,1,0
11200,1,0
11400,1,0
11600,1,0
11800,1,0
12000,1,0
12200,2,1
12400,2,0
12600,2,0
12800,2,0
13000,2,0
13200,2,0
13400,2,0
13600,2,0
13800,2,0
14000,2,0
14200,2,0
14400,2,0
14600,2,0
14800,2,0
15000,2,0
15200,2,0
15400,2,0
15600,2,0
15800,2,0
16000,2,0
16200,2,0
16400,2,0
16600,2,0
16800,2,0
17000,2,0
17200,2,0
17400,2,0
17600,2,0
17800,3,1
18000,3,0
18200,3,0
18400,3,0
18600,3,0
18800,3,0
19000,3,0
19200,3,0
19400,3,0
19600,3,0
19800,3,0
20000,3,0
20200,3,0
20400,4,1
20600,4,0
20800,4,0
21000,4,0
21200,4,0
21400,4,0
21600,4,0
21800,4,0
22000,4,0
22200,4,0
22400,4,0
22600,4,0
22800,4,0
23000,4,0
23200,4,0
23400,4,0
23600,4,0
23800,5,1
24000,5,0
24200,5,0
24400,5,0
24600,5,0
24800,5,0
25000,5,0
25200,5,0
25400,5,0
25600,6,1
25800,6,0
26000,6,0
26200,6,0
26400,6,0
26600,6,0
26800,6,0
27000,6,0
27200,6,0
27400,6,0
27600,6,0
27800,6,0
28000,6,0
28200,6,0
28400,7,1
28600,7,0
28800,7,0
29000,7,0
29200,7,0
29400,7,0
29600,7,0
29800,7,0
30000,7,0
30200,7,0
30400,7,0
30600,7,0
30800,7,0
31000,7,0
31200,8,1
31400,8,0
31600,8,0
31800,8,0
32000,8,0
32200,8,0
32400,8,0
32600,8,0
32800,8,0
33000,8,0
33200,8,0
33400,8,0
33600,9,1
33800,9,0
34000,9,0
34200,9,0
34400,9,0
34600,9,0
34800,9,0
35000,9,0
35200,9,0
35400,9,0
35600,9,0
35800,9,0
36000,10,1
36200,10,0
36400,10,0
